,NIFTY OPTION CHAIN ANALYSIS,,,,,,,,,,,,,,,,,,,,,,,,,,Find Similer Indicator here,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SYMBOL,EXPIRY,LOT SIZE,STRIKE DIFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NIFTY,11-Jul-24,25,100,,,,,,,,SPOT PRICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,24381.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALL* LTP,CALLS Strength %,CALL,,,,,,,,Diff OI CHNG,Trigger,,,PUT,,,,,,,,PUT*LTP,PUT Strength %,Volume based Strength,Master Indicator,Volume & LTP Indicator,BID Price Indicator,CALL,,,,,,,PUT,,,,,,,
,,,OI,CHNG IN OI,VOLUME,LTP,Bid Qty,Bid Price,Ask Qty,Ask Price,,,,STRIKE,OI,CHNG IN OI,VOLUME,LTP,Bid Qty,Bid Price,Ask Qty,Ask Price,,,,,,,Bid Price,Bid Qty,Total Bid Value,Ask Price,Ask Qty,Total Ask Value,CALL BID Strength,Bid Price,Bid Qty,Total Bid Value,Ask Price,Ask Qty,Total Ask Value,PUT Ask Value,
22800,6407,0.00%,275,0,4,1601.80,100,1568,50,1642,-22344,CALL,PUT,22800,18523,4096,27838,1.30,3500,1,9125,1,36189,0.01%,0.01%,Wait,PUT,CALL,156770,100,15677000,82077.5,50,4103875,11573125,4550,3500,15925000,12318.75,9125,112408594,-96483594,-29782
22900,49088,0.01%,323,4,33,1487.50,25,1482,25,1524,-5248,CALL,CALL,22900,5162,413,13588,1.35,4725,1,4800,1,18344,0.01%,0.01%,CALL,CALL,CALL,37045,25,926125,38088.75,25,952219,-26094,6378.75,4725,30139594,6720,4800,32256000,-2116406,30744
23000,634359,0.16%,3142,36,452,1403.45,50,1400,100,1406,-116066,PUT,CALL,23000,94597,24647,116597,1.50,192300,2,76100,2,174896,0.05%,0.16%,Wait,CALL,PUT,69982.5,50,3499125,140615,100,14061500,-10562375,288450,192300,55468935000,117955,76100,8976375500,46492559500,459464
23100,10592,0.00%,517,0,8,1324.05,25,1299,100,1307,-20260,PUT,PUT,23100,17851,2926,42050,1.55,47425,2,31050,2,65178,0.02%,0.02%,PUT,PUT,PUT,32485,25,812125,130735,100,13073500,-12261375,71137.5,47425,3373695938,48127.5,31050,1494358875,1879337063,-54585
